i,ok,status_code,latency_ms,started_at_s,error
0,False,,2555.9230998624116,1778407249.2196884,ConnectError('All connection attempts failed')
1,False,,2554.8886000178754,1778407249.2212887,ConnectError('All connection attempts failed')
2,False,,2555.1163000054657,1778407249.2219274,ConnectError('All connection attempts failed')
3,False,,2553.7696999963373,1778407249.2228553,ConnectError('All connection attempts failed')
4,False,,2581.2675000634044,1778407249.2235181,ConnectError('All connection attempts failed')
5,False,,2553.3386000897735,1778407249.2240992,ConnectError('All connection attempts failed')
6,False,,2575.196199817583,1778407249.2246585,ConnectError('All connection attempts failed')
7,False,,2579.9257999751717,1778407249.225245,ConnectError('All connection attempts failed')
8,False,,2579.918700037524,1778407249.2258167,ConnectError('All connection attempts failed')
9,False,,2574.9636001419276,1778407249.2263684,ConnectError('All connection attempts failed')
10,False,,2575.1296998932958,1778407249.226918,ConnectError('All connection attempts failed')
11,False,,2581.5320000983775,1778407249.227454,ConnectError('All connection attempts failed')
12,False,,2570.4836000222713,1778407249.227983,ConnectError('All connection attempts failed')
13,False,,2575.082499999553,1778407249.2285364,ConnectError('All connection attempts failed')
14,False,,2570.1965000480413,1778407249.22909,ConnectError('All connection attempts failed')
15,False,,2548.1990000698715,1778407249.229625,ConnectError('All connection attempts failed')
16,False,,2577.8842999134213,1778407249.230148,ConnectError('All connection attempts failed')
17,False,,2547.5751999765635,1778407249.2306693,ConnectError('All connection attempts failed')
18,False,,2569.015699904412,1778407249.2312233,ConnectError('All connection attempts failed')
19,False,,2569.7459001094103,1778407249.231765,ConnectError('All connection attempts failed')
20,False,,2568.665700033307,1778407249.232301,ConnectError('All connection attempts failed')
21,False,,2569.387200055644,1778407249.2328465,ConnectError('All connection attempts failed')
22,False,,2571.5803999919444,1778407249.2333996,ConnectError('All connection attempts failed')
23,False,,2575.301299802959,1778407249.2339387,ConnectError('All connection attempts failed')
24,False,,2571.6454999055713,1778407249.2344654,ConnectError('All connection attempts failed')
