concurrency,users,rps,errors,p50_ms,p95_ms,p99_ms,out_csv,out_json
400,100,161.8710113359376,1500,,,,offers_ramp_20260510_115955_c400_20260510_115955.csv,offers_ramp_20260510_115955_c400_20260510_115955.json
800,100,277.31381122902,1500,,,,offers_ramp_20260510_115955_c800_20260510_120027.csv,offers_ramp_20260510_115955_c800_20260510_120027.json
1600,100,432.56375722861355,1500,,,,offers_ramp_20260510_115955_c1600_20260510_120054.csv,offers_ramp_20260510_115955_c1600_20260510_120054.json
