concurrency,users,rps,errors,p50_ms,p95_ms,p99_ms,out_csv,out_json
100,100,75.9313204239427,0,1126.7704500351101,3653.4528399934056,5534.268300898838,offers_ramp_20260510_110754_c100_20260510_110754.csv,offers_ramp_20260510_110754_c100_20260510_110754.json
200,100,63.09673182058741,0,1989.9037999566644,10553.598779987078,15444.274469988884,offers_ramp_20260510_110754_c200_20260510_110849.csv,offers_ramp_20260510_110754_c200_20260510_110849.json
400,100,66.54716983604095,800,2933.2217500777915,4572.665480093565,4862.6455770176835,offers_ramp_20260510_110754_c400_20260510_110957.csv,offers_ramp_20260510_110754_c400_20260510_110957.json
800,100,363.2977613210527,1500,,,,offers_ramp_20260510_110754_c800_20260510_111106.csv,offers_ramp_20260510_110754_c800_20260510_111106.json
1600,100,419.7726930662567,1500,,,,offers_ramp_20260510_110754_c1600_20260510_111132.csv,offers_ramp_20260510_110754_c1600_20260510_111132.json
3200,100,436.58938006607997,1500,,,,offers_ramp_20260510_110754_c3200_20260510_111158.csv,offers_ramp_20260510_110754_c3200_20260510_111158.json
