i,ok,status_code,latency_ms,started_at_s,error
0,False,,3121.1659000255167,1778407276.644961,ConnectError('All connection attempts failed')
1,False,,3123.2474001590163,1778407276.6466546,ConnectError('All connection attempts failed')
2,False,,3122.939000139013,1778407276.6473825,ConnectError('All connection attempts failed')
3,False,,3118.4961998369545,1778407276.6480784,ConnectError('All connection attempts failed')
4,False,,3125.3264998085797,1778407276.6487515,ConnectError('All connection attempts failed')
5,False,,3118.8433000352234,1778407276.6493466,ConnectError('All connection attempts failed')
6,False,,3116.448499960825,1778407276.6498995,ConnectError('All connection attempts failed')
7,False,,3116.9751998968422,1778407276.6504362,ConnectError('All connection attempts failed')
8,False,,3121.3044999167323,1778407276.6509864,ConnectError('All connection attempts failed')
9,False,,3117.2213999088854,1778407276.651541,ConnectError('All connection attempts failed')
10,False,,3118.6227998696268,1778407276.652082,ConnectError('All connection attempts failed')
11,False,,3114.166999934241,1778407276.6526203,ConnectError('All connection attempts failed')
12,False,,3116.934400051832,1778407276.6531746,ConnectError('All connection attempts failed')
13,False,,3114.6658998914063,1778407276.6537163,ConnectError('All connection attempts failed')
14,False,,3116.698400117457,1778407276.654266,ConnectError('All connection attempts failed')
15,False,,3117.8371000569314,1778407276.654836,ConnectError('All connection attempts failed')
16,False,,3118.3823000174016,1778407276.655509,ConnectError('All connection attempts failed')
17,False,,3116.7893998790532,1778407276.6560788,ConnectError('All connection attempts failed')
18,False,,3113.1033001001924,1778407276.6566138,ConnectError('All connection attempts failed')
19,False,,3117.668899940327,1778407276.657164,ConnectError('All connection attempts failed')
20,False,,3107.611400075257,1778407276.6579578,ConnectError('All connection attempts failed')
21,False,,3108.880599960685,1778407276.6587422,ConnectError('All connection attempts failed')
22,False,,3111.7362999357283,1778407276.6594322,ConnectError('All connection attempts failed')
23,False,,3105.8295001275837,1778407276.660056,ConnectError('All connection attempts failed')
24,False,,3112.6465001143515,1778407276.6606598,ConnectError('All connection attempts failed')
25,False,,3106.742799980566,1778407276.661258,ConnectError('All connection attempts failed')
26,False,,3105.385300004855,1778407276.6618373,ConnectError('All connection attempts failed')
27,False,,3113.934100139886,1778407276.6624553,ConnectError('All connection attempts failed')
28,False,,3114.1034001484513,1778407276.6630657,ConnectError('All connection attempts failed')
29,False,,3112.478099996224,1778407276.6636455,ConnectError('All connection attempts failed')
30,False,,3114.570700097829,1778407276.6642056,ConnectError('All connection attempts failed')
31,False,,3104.37890002504,1778407276.6647775,ConnectError('All connection attempts failed')
32,False,,3101.643999805674,1778407276.665369,ConnectError('All connection attempts failed')
33,False,,3111.0626999288797,1778407276.665921,ConnectError('All connection attempts failed')
34,False,,3111.7515999358147,1778407276.6664507,ConnectError('All connection attempts failed')
35,False,,3108.0165000166744,1778407276.6670222,ConnectError('All connection attempts failed')
36,False,,3113.0411999765784,1778407276.6676178,ConnectError('All connection attempts failed')
37,False,,3099.3272999767214,1778407276.6684885,ConnectError('All connection attempts failed')
38,False,,3109.532300150022,1778407276.6690595,ConnectError('All connection attempts failed')
39,False,,3101.917800027877,1778407276.669634,ConnectError('All connection attempts failed')
40,False,,3098.7445001956075,1778407276.6702206,ConnectError('All connection attempts failed')
41,False,,3108.3816001191735,1778407276.670783,ConnectError('All connection attempts failed')
42,False,,3111.5013000089675,1778407276.671342,ConnectError('All connection attempts failed')
43,False,,3097.4439999554306,1778407276.6719017,ConnectError('All connection attempts failed')
44,False,,3097.0443999394774,1778407276.6724865,ConnectError('All connection attempts failed')
45,False,,3104.635800002143,1778407276.6733167,ConnectError('All connection attempts failed')
46,False,,3099.4136999361217,1778407276.6740818,ConnectError('All connection attempts failed')
47,False,,3110.333199845627,1778407276.6747065,ConnectError('All connection attempts failed')
48,False,,3096.41269990243,1778407276.6753228,ConnectError('All connection attempts failed')
49,False,,3095.9836000110954,1778407276.675936,ConnectError('All connection attempts failed')
50,False,,3102.9533999972045,1778407276.6766038,ConnectError('All connection attempts failed')
51,False,,3103.858099784702,1778407276.6771743,ConnectError('All connection attempts failed')
52,False,,3094.7287001181394,1778407276.6777434,ConnectError('All connection attempts failed')
53,False,,3104.9118998926133,1778407276.6783075,ConnectError('All connection attempts failed')
54,False,,3102.501699933782,1778407276.6788979,ConnectError('All connection attempts failed')
55,False,,3106.057599885389,1778407276.6794395,ConnectError('All connection attempts failed')
56,False,,3103.5780999809504,1778407276.679996,ConnectError('All connection attempts failed')
57,False,,3107.3553999885917,1778407276.6805682,ConnectError('All connection attempts failed')
58,False,,3095.658899983391,1778407276.6811159,ConnectError('All connection attempts failed')
59,False,,3086.8315999396145,1778407276.681744,ConnectError('All connection attempts failed')
60,False,,3090.804899809882,1778407276.6822965,ConnectError('All connection attempts failed')
61,False,,3087.1546000707895,1778407276.683363,ConnectError('All connection attempts failed')
62,False,,3088.0230001639575,1778407276.6840801,ConnectError('All connection attempts failed')
63,False,,3091.931500006467,1778407276.6846504,ConnectError('All connection attempts failed')
64,False,,3102.1437000017613,1778407276.685216,ConnectError('All connection attempts failed')
65,False,,3093.1936998385936,1778407276.685782,ConnectError('All connection attempts failed')
