i,ok,status_code,latency_ms,started_at_s,error
0,True,200,175.4587999312207,1778341167.6160686,
1,True,200,180.24390004575253,1778341167.617301,
2,True,200,188.6125000892207,1778341167.6179852,
3,True,200,200.94829995650798,1778341167.618591,
4,True,200,1223.6848000902683,1778341167.6191618,
5,True,200,1227.5184999452904,1778341167.619734,
6,True,200,1208.5889999289066,1778341167.620287,
7,True,200,1203.1799000687897,1778341167.6208627,
8,True,200,1223.261500010267,1778341167.6215355,
9,True,200,1093.4170000255108,1778341167.6221032,
10,True,200,1875.5965000018477,1778341167.6226358,
11,True,200,1195.7593999104574,1778341167.6231651,
12,True,200,1297.0776000292972,1778341167.624092,
13,True,200,1096.3575000641868,1778341167.6248367,
14,True,200,1213.9932999853045,1778341167.6257234,
15,True,200,1302.4404000025243,1778341167.626782,
16,True,200,2034.7134999465197,1778341167.6275208,
17,True,200,1137.3710000189021,1778341167.62827,
18,True,200,1058.4103999426588,1778341167.6288993,
19,True,200,2040.418399963528,1778341167.6294909,
20,True,200,1185.3178000310436,1778341167.6300378,
21,True,200,1201.040399959311,1778341167.630575,
22,True,200,1286.0062000108883,1778341167.631141,
23,True,200,180.91220001224428,1778341167.6316926,
24,True,200,1201.8585000187159,1778341167.632226,
25,True,200,1048.2166999718174,1778341167.6327496,
26,True,200,1503.597000031732,1778341167.633297,
27,True,200,1497.8234999580309,1778341167.6338356,
28,True,200,2376.4306999510154,1778341167.634366,
29,True,200,1477.7983999811113,1778341167.634912,
30,True,200,1430.0522999837995,1778341167.635557,
31,True,200,1415.708199958317,1778341167.6361153,
32,True,200,1420.1413999544457,1778341167.6366484,
33,True,200,1405.4159000515938,1778341167.6371899,
34,True,200,1237.7796999644488,1778341167.6377153,
35,True,200,1300.2525999909267,1778341167.6382627,
36,True,200,1306.2753999838606,1778341167.6387978,
37,True,200,1288.2002000696957,1778341167.639357,
38,True,200,1290.9343000501394,1778341167.639878,
39,True,200,1295.6964999902993,1778341167.6403954,
40,True,200,1291.1269000032917,1778341167.6427627,
41,True,200,1236.386200063862,1778341167.6439605,
42,True,200,3143.971799989231,1778341167.6447873,
43,True,200,1426.255700062029,1778341167.6453989,
44,True,200,3083.597099990584,1778341167.6459956,
45,True,200,1538.1403000792488,1778341167.646561,
46,True,200,1529.0713999420404,1778341167.647123,
47,True,200,1553.1270999927074,1778341167.6477013,
48,True,200,2421.2638000026345,1778341167.6482763,
