concurrency,users,rps,errors,p50_ms,p95_ms,p99_ms,out_csv,out_json
800,1,77.43763771565449,0,8418.53495000396,12248.28461994184,15118.85760206962,offers_highc_20260510_121143_c800_20260510_121143.csv,offers_highc_20260510_121143_c800_20260510_121143.json
1600,1,146.46822487442654,1300,8282.2603500681,9064.987724844832,9163.393159045372,offers_highc_20260510_121143_c1600_20260510_121203.csv,offers_highc_20260510_121143_c1600_20260510_121203.json
3200,1,151.24746336531166,1030,4839.522249996662,8305.965174990706,8395.211005979218,offers_highc_20260510_121143_c3200_20260510_121213.csv,offers_highc_20260510_121143_c3200_20260510_121213.json
