i,ok,status_code,latency_ms,started_at_s,error
0,True,200,2316.164999967441,1778407903.8104286,
1,True,200,2379.7748000361025,1778407903.8161616,
2,True,200,2431.8462000228465,1778407903.8169286,
3,True,200,2245.4961999319494,1778407903.8179574,
4,True,200,2114.7472001612186,1778407903.819352,
5,True,200,2203.979399986565,1778407903.820285,
6,True,200,2234.9682000931352,1778407903.8209536,
7,True,200,2221.889700042084,1778407903.82161,
8,True,200,2311.251200037077,1778407903.8222525,
9,True,200,2228.7700998131186,1778407903.8228571,
10,True,200,2026.0946999769658,1778407903.8234484,
11,True,200,2335.260499967262,1778407903.8240457,
12,True,200,2348.4743000008166,1778407903.8246467,
13,True,200,2214.527700096369,1778407903.8252022,
14,True,200,2353.0728998593986,1778407903.8257632,
15,True,200,2358.2736998796463,1778407903.8263125,
16,True,200,2544.5834000129253,1778407903.826877,
17,True,200,2695.779399946332,1778407903.8274324,
18,True,200,2551.1453999206424,1778407903.8279874,
19,True,200,2354.9674001988024,1778407903.8285997,
20,True,200,2326.065900037065,1778407903.8291976,
21,True,200,2679.406799841672,1778407903.8300147,
22,True,200,2700.963000068441,1778407903.8306031,
23,True,200,2497.1678000874817,1778407903.8311684,
24,True,200,2213.0942000076175,1778407903.8317404,
25,True,200,3068.8191999215633,1778407903.8323092,
26,True,200,2418.3301001321524,1778407903.8328884,
27,True,200,3126.939499983564,1778407903.833469,
28,True,200,2198.1109001208097,1778407903.8340268,
29,True,200,2223.1402001343668,1778407903.8345754,
30,True,200,2331.1540000140667,1778407903.836304,
31,True,200,2336.7606999818236,1778407903.8373158,
32,True,200,2218.725500162691,1778407903.8380823,
33,True,200,3041.039800038561,1778407903.8386996,
34,True,200,2101.3417998328805,1778407903.8392944,
35,True,200,2306.398200104013,1778407903.83987,
36,True,200,2495.594099862501,1778407903.8404963,
37,True,200,2428.214200073853,1778407903.8410952,
38,True,200,2351.429499918595,1778407903.8416722,
39,True,200,2450.2020000945777,1778407903.8422399,
40,True,200,2451.834599953145,1778407903.8428104,
41,True,200,2626.22750014998,1778407903.8435373,
42,True,200,2422.338000033051,1778407903.844119,
43,True,200,2487.4933001119643,1778407903.8446736,
44,True,200,2479.2506000958383,1778407903.8452456,
45,True,200,2633.5424000862986,1778407903.8458092,
46,True,200,3045.705499825999,1778407903.8463695,
47,True,200,2702.176099875942,1778407903.846915,
48,True,200,2519.6601999923587,1778407903.8474689,
49,True,200,3077.7874998748302,1778407903.8480499,
50,True,200,2667.5856998190284,1778407903.848617,
51,True,200,2524.5258999057114,1778407903.8491623,
52,True,200,2729.5832000672817,1778407903.849896,
53,True,200,2713.3364998735487,1778407903.85059,
54,True,200,2622.8777999058366,1778407903.851877,
55,True,200,1997.2427000757307,1778407903.8530624,
56,True,200,2630.0560000818223,1778407903.8538134,
57,True,200,2634.14609991014,1778407903.8544636,
58,True,200,2435.705800075084,1778407903.8550763,
59,True,200,2700.2576999366283,1778407903.8556855,
60,True,200,2072.5320999044925,1778407903.856263,
61,True,200,2291.0074000246823,1778407903.856857,
62,True,200,2395.8744001574814,1778407903.8574336,
63,True,200,2511.354299960658,1778407903.8580053,
64,True,200,2409.2528000473976,1778407903.8585644,
65,True,200,2078.472499968484,1778407903.8591135,
66,True,200,2728.980799904093,1778407903.859707,
67,True,200,2278.0077001079917,1778407903.8602684,
68,True,200,2409.936200128868,1778407903.8608184,
69,True,200,2632.3039000853896,1778407903.8613775,
70,True,200,2906.89400001429,1778407903.861959,
71,True,200,3021.336100064218,1778407903.862574,
72,True,200,3024.833000032231,1778407903.8631814,
73,True,200,3052.982300054282,1778407903.8637779,
74,True,200,2475.598500110209,1778407903.8643682,
75,True,200,2675.44909985736,1778407903.86495,
76,True,200,2634.8135999869555,1778407903.8655453,
77,True,200,2328.03410012275,1778407903.866121,
78,True,200,2731.504999799654,1778407903.8667083,
79,True,200,2404.9718999303877,1778407903.8673165,
80,True,200,2507.6272999867797,1778407903.8684127,
81,True,200,2700.7001999299973,1778407903.8698335,
82,True,200,10637.470999965444,1778407903.8705595,
83,True,200,2713.527899933979,1778407903.8713694,
84,True,200,7941.276899771765,1778407903.87203,
85,True,200,4199.920500162989,1778407903.8726616,
86,True,200,8191.531699849293,1778407903.8732903,
87,True,200,10245.598699897528,1778407903.8738728,
88,True,200,8584.994099801406,1778407903.8744597,
89,True,200,7534.505899995565,1778407903.8750536,
90,True,200,8594.273200025782,1778407903.875665,
91,True,200,10602.430099854246,1778407903.8762307,
92,True,200,4406.689199851826,1778407903.8767917,
93,True,200,3303.122000070289,1778407903.8773801,
94,True,200,3393.6544000171125,1778407903.8779547,
95,True,200,10697.546900017187,1778407903.8785355,
96,True,200,8053.453900152817,1778407903.8790936,
97,True,200,6229.073799913749,1778407903.8796802,
98,True,200,6271.815499989316,1778407903.8802497,
99,True,200,6012.1893000323325,1778407903.880828,
100,True,200,8516.359699890018,1778407903.8814092,
101,True,200,3093.608400085941,1778407903.881994,
102,True,200,8008.126999950036,1778407903.8825612,
103,True,200,3303.1687000766397,1778407903.8831317,
104,True,200,10593.593300087377,1778407903.8839312,
105,True,200,8014.357399893925,1778407903.8845692,
106,True,200,4469.785099849105,1778407903.8852234,
107,True,200,6885.317899985239,1778407903.8858757,
108,True,200,6279.00189999491,1778407903.8865688,
109,True,200,8479.924000101164,1778407903.8871875,
110,True,200,7336.184100015089,1778407903.887798,
111,True,200,6191.8752999044955,1778407903.888392,
112,True,200,5498.7162000034,1778407903.8889835,
113,True,200,6041.884199948981,1778407903.8895762,
114,True,200,3925.4441000521183,1778407903.890155,
115,True,200,4377.72380001843,1778407903.8927612,
116,True,200,3404.837999958545,1778407903.8934138,
117,True,200,3390.3516998980194,1778407903.894031,
118,True,200,5418.446100084111,1778407903.8946245,
119,True,200,4151.66849992238,1778407903.8952162,
120,True,200,7098.834099946544,1778407903.895846,
121,True,200,10663.012800039724,1778407903.8964603,
122,True,200,7148.651499999687,1778407903.8970335,
123,True,200,6981.057199882343,1778407903.8976212,
124,True,200,9264.815399888903,1778407903.898248,
125,True,200,10644.880099920556,1778407903.898845,
126,True,200,7896.139899967238,1778407903.8994508,
127,True,200,10215.455499943346,1778407903.9000533,
128,True,200,10658.271700143814,1778407903.9010592,
129,True,200,7626.382099930197,1778407903.9018211,
130,True,200,3052.9994000680745,1778407903.902536,
131,True,200,3062.4303999356925,1778407903.9032586,
132,True,200,3066.730200080201,1778407903.903881,
133,True,200,2992.413100088015,1778407903.9044738,
134,True,200,7206.755799939856,1778407903.905114,
135,True,200,3249.466600129381,1778407903.9057148,
136,True,200,2875.3076000139117,1778407903.9063032,
137,True,200,3962.590100010857,1778407903.90691,
138,True,200,3036.0673000104725,1778407903.9075253,
139,True,200,4401.51850017719,1778407903.9081175,
140,True,200,3252.466999925673,1778407903.9087012,
141,True,200,7168.001799844205,1778407903.9093125,
142,True,200,3337.3100000899285,1778407903.909913,
143,True,200,5385.529299965128,1778407903.9105163,
144,True,200,3255.6330000516027,1778407903.9111397,
145,True,200,6129.870600067079,1778407903.9117625,
146,True,200,3279.9319000914693,1778407903.9125109,
147,True,200,6058.830500114709,1778407903.913148,
148,True,200,3339.4926998298615,1778407903.913749,
149,True,200,3292.7737000864,1778407903.9143517,
150,True,200,4185.068600112572,1778407903.9149613,
151,True,200,4250.171999912709,1778407903.915584,
152,True,200,4058.758100029081,1778407903.916184,
153,True,200,4003.0911001376808,1778407903.9167836,
154,True,200,5537.52959985286,1778407903.917858,
155,True,200,3370.6900998950005,1778407903.9199295,
156,True,200,3878.766299923882,1778407903.9207826,
157,True,200,5984.515100019053,1778407903.9216316,
158,True,200,5281.0088999103755,1778407903.9222722,
159,True,200,3978.1857000198215,1778407903.9228897,
160,True,200,10689.392700092867,1778407903.9235072,
161,True,200,6170.640700031072,1778407903.9241128,
162,True,200,3381.461599841714,1778407903.9247127,
163,True,200,7000.749900005758,1778407903.9253378,
164,True,200,3959.3290998600423,1778407903.9259965,
165,True,200,2849.9127000104636,1778407903.9265895,
166,True,200,3933.9536998886615,1778407903.927199,
167,True,200,4009.899199940264,1778407903.9278448,
168,True,200,4152.972300071269,1778407903.9284825,
169,True,200,2843.3717999141663,1778407903.9291995,
170,True,200,4025.926999980584,1778407903.929894,
171,True,200,3004.4897999614477,1778407903.9305298,
172,True,200,3462.2452999465168,1778407903.9311564,
173,True,200,3304.1387000121176,1778407903.931776,
174,True,200,3897.3250000271946,1778407903.9323764,
175,True,200,3326.4347000513226,1778407903.932978,
176,True,200,4103.171299910173,1778407903.9339502,
177,True,200,3941.5299999527633,1778407903.9358869,
178,True,200,4045.7698001991957,1778407903.9372244,
179,True,200,3234.6183999907225,1778407903.9379892,
180,True,200,4214.460900053382,1778407903.938713,
181,True,200,3258.9940999168903,1778407903.9393883,
182,True,200,4290.795699926093,1778407903.9400306,
183,True,200,3283.7072000838816,1778407903.9406803,
184,True,200,4309.657600009814,1778407903.9413037,
185,True,200,4236.414800165221,1778407903.9419656,
186,True,200,3322.9463999159634,1778407903.9426363,
187,True,200,4177.224899875,1778407903.9433856,
188,True,200,3334.0361998416483,1778407903.94411,
189,True,200,4145.085300086066,1778407903.9447978,
190,True,200,3469.1349000204355,1778407903.9454572,
191,True,200,4348.784300033003,1778407903.9460888,
192,True,200,3376.5089998487383,1778407903.946729,
193,True,200,5149.72999994643,1778407903.9473543,
194,True,200,3384.6683998126537,1778407903.9480898,
195,True,200,3401.096999878064,1778407903.948717,
196,True,200,4017.3027999699116,1778407903.9493413,
197,True,200,5242.168599972501,1778407903.9505892,
198,True,200,3892.8263999987394,1778407903.9523401,
199,True,200,5330.5158000439405,1778407903.9536755,
200,True,200,5216.603999957442,1778407903.954488,
201,True,200,5184.734300011769,1778407903.9552047,
202,True,200,5274.42210004665,1778407903.9558632,
203,True,200,4246.140099829063,1778407903.9565122,
204,True,200,5394.731199834496,1778407903.9573185,
205,True,200,5405.461999820545,1778407903.9581,
206,True,200,5314.387199934572,1778407903.9587924,
207,True,200,4061.2403999548405,1778407903.959444,
208,True,200,4104.047899832949,1778407903.9602287,
209,True,200,3932.594599900767,1778407903.9608948,
210,True,200,4180.794500047341,1778407903.9615319,
211,True,200,5995.847800048068,1778407903.9621508,
212,True,200,5981.875700177625,1778407903.962787,
213,True,200,5916.169099975377,1778407903.963425,
214,True,200,6034.739200025797,1778407903.964067,
215,True,200,4026.304699946195,1778407903.964797,
216,True,200,5477.337499847636,1778407903.9655302,
217,True,200,4089.034999953583,1778407903.9661596,
218,True,200,6061.528899939731,1778407903.9667888,
219,True,200,6015.384900150821,1778407903.9692295,
220,True,200,6084.3201000243425,1778407903.970193,
221,True,200,6675.098899984732,1778407903.9709792,
222,True,200,6726.052399957553,1778407903.9717216,
223,True,200,4219.63860001415,1778407903.9724104,
224,True,200,6710.8844998292625,1778407903.9730885,
225,True,200,5139.691399876028,1778407903.973763,
226,True,200,6688.3108001202345,1778407903.9744563,
227,True,200,5183.4279000759125,1778407903.9751158,
228,True,200,6738.693800056353,1778407903.9758058,
229,True,200,5205.224700039253,1778407903.976492,
230,True,200,6777.812600135803,1778407903.9771507,
231,True,200,5274.871800094843,1778407903.9778,
232,True,200,6752.216099994257,1778407903.9784303,
233,True,200,5396.532700164244,1778407903.9790583,
234,True,200,4352.97860018909,1778407903.9797127,
235,True,200,6881.794299930334,1778407903.9803474,
236,True,200,5351.186300162226,1778407903.980997,
237,True,200,5444.61219990626,1778407903.981654,
238,True,200,6811.850399943069,1778407903.9822872,
239,True,200,5416.524300118908,1778407903.9830542,
240,True,200,5934.962699888274,1778407903.9837546,
241,True,200,6825.586099876091,1778407903.9866636,
242,True,200,6843.875200022012,1778407903.9876952,
243,True,200,6858.736000023782,1778407903.9884918,
244,True,200,6023.784300079569,1778407903.9892323,
245,True,200,6148.178300121799,1778407903.9899402,
246,True,200,6076.121699996293,1778407903.9906127,
247,True,200,6903.648599982262,1778407903.9912837,
248,True,200,6130.910199834034,1778407903.991952,
249,True,200,6917.323600035161,1778407903.9926221,
250,True,200,6984.020099975169,1778407903.993408,
251,True,200,6965.800799895078,1778407903.994158,
252,True,200,10533.823100151494,1778407903.994818,
253,True,200,7034.609400201589,1778407903.9954562,
254,True,200,7098.356599919498,1778407903.9960828,
255,True,200,7163.978999946266,1778407903.9967644,
256,True,200,6946.028600214049,1778407903.9974132,
257,True,200,9161.05190012604,1778407903.9980483,
258,True,200,7014.054599916562,1778407903.9987087,
259,True,200,9166.944499826059,1778407903.9993677,
260,True,200,7394.434200134128,1778407904.0001373,
261,True,200,7059.71430009231,1778407904.002366,
262,True,200,7505.868399981409,1778407904.0035422,
263,True,200,9165.14450008981,1778407904.0043583,
264,True,200,7123.372700065374,1778407904.005093,
265,True,200,7662.82630013302,1778407904.0058012,
266,True,200,7137.507600011304,1778407904.006492,
267,True,200,10537.337799789384,1778407904.007166,
268,True,200,7594.691599952057,1778407904.0078216,
269,True,200,8336.42810001038,1778407904.0084798,
270,True,200,7615.576199954376,1778407904.0092745,
271,True,200,8372.578699840233,1778407904.0099857,
272,True,200,10629.688899964094,1778407904.0106492,
273,True,200,7739.111900096759,1778407904.0113037,
274,True,200,7228.893900057301,1778407904.0119715,
275,True,200,10103.110699914396,1778407904.0126355,
276,True,200,10561.50640011765,1778407904.0132961,
277,True,200,10599.143899977207,1778407904.0139422,
278,True,200,7693.03399999626,1778407904.014624,
279,True,200,8369.882100028917,1778407904.0152917,
280,True,200,8336.193699855357,1778407904.015954,
281,True,200,7595.962000079453,1778407904.016622,
282,True,200,7786.087200045586,1778407904.0183895,
283,True,200,7801.490299869329,1778407904.0204155,
284,True,200,7810.3294998873025,1778407904.0218432,
285,True,200,2927.9223999474198,1778407904.0226486,
286,True,200,7283.771000104025,1778407904.0233543,
287,True,200,8862.276999978349,1778407904.024115,
288,True,200,9144.802500028163,1778407904.0248127,
289,True,200,10550.492099951953,1778407904.0254924,
290,True,200,7465.317900059745,1778407904.0261414,
291,True,200,10586.450999835506,1778407904.0267959,
292,True,200,7977.459999965504,1778407904.0274765,
293,True,200,10500.765499891713,1778407904.0281558,
294,True,200,7293.771599885076,1778407904.028953,
295,True,200,7990.619499934837,1778407904.0296388,
296,True,200,7959.677099948749,1778407904.0302994,
297,True,200,10514.05439991504,1778407904.0309622,
298,True,200,7391.596500063315,1778407904.031614,
299,True,200,8432.614699937403,1778407904.032279,
300,True,200,7686.006199801341,1778407904.0329568,
301,True,200,8434.942999854684,1778407904.0336845,
302,True,200,8423.863099887967,1778407904.0371861,
303,True,200,10520.973399979994,1778407904.0385833,
304,True,200,10489.740499993786,1778407904.0394914,
305,True,200,8435.26820000261,1778407904.0403006,
306,True,200,7646.9131000339985,1778407904.041038,
307,True,200,8432.321300031617,1778407904.0418012,
308,True,200,8446.102000074461,1778407904.0424957,
309,True,200,7654.997800011188,1778407904.043213,
