i,ok,status_code,latency_ms,started_at_s,error
0,True,200,117.97290004324168,1778341150.1065652,
1,True,200,111.07510002329946,1778341150.1077902,
2,True,200,101.71219997573644,1778341150.108592,
3,True,200,125.37150003481656,1778341150.1092608,
4,True,200,1087.775299907662,1778341150.1098466,
5,True,200,119.0743000479415,1778341150.110401,
6,True,200,1134.55099996645,1778341150.1109447,
7,True,200,1051.3157999375835,1778341150.1114972,
8,True,200,1065.0611000601202,1778341150.1120408,
9,True,200,1079.4633999466896,1778341150.112594,
10,True,200,1038.6746999574825,1778341150.1131427,
11,True,200,1191.856599994935,1778341150.1136804,
12,True,200,1109.8382999189198,1778341150.1144326,
13,True,200,1154.9481999827549,1778341150.1150591,
14,True,200,1030.6202000938356,1778341150.1156301,
15,True,200,1140.5817000195384,1778341150.1161897,
16,True,200,1041.0798999946564,1778341150.116742,
17,True,200,1192.5174000207335,1778341150.1173074,
18,True,200,1019.1285000182688,1778341150.117842,
19,True,200,1160.7679999433458,1778341150.1183784,
20,True,200,1143.744200002402,1778341150.1189127,
21,True,200,998.9876000909135,1778341150.119485,
22,True,200,1010.6987999752164,1778341150.1200218,
23,True,200,1047.3455999745056,1778341150.1205497,
24,True,200,1002.2180000087246,1778341150.1213174,
25,True,200,979.3780000181869,1778341150.1220515,
26,True,200,1084.5155999995768,1778341150.1237752,
27,True,200,1516.6964000090957,1778341150.1245205,
28,True,200,1506.46579999011,1778341150.1251535,
29,True,200,1262.9846999188885,1778341150.1257637,
30,True,200,1272.778999991715,1778341150.1263394,
31,True,200,1678.8314000004902,1778341150.1269488,
32,True,200,1421.8221999472007,1778341150.1275373,
33,True,200,1369.0456000622362,1778341150.1280777,
34,True,200,1385.386300040409,1778341150.1286283,
35,True,200,1225.510000018403,1778341150.1291678,
36,True,200,1192.0464999275282,1778341150.1297216,
37,True,200,1211.7371000349522,1778341150.1302466,
38,True,200,2180.8060999028385,1778341150.1307933,
39,True,200,1401.2975000077859,1778341150.1313324,
40,True,200,1202.0297000417486,1778341150.2103274,
41,True,200,1175.067099975422,1778341150.2189,
42,True,200,1434.9218000425026,1778341150.2245615,
43,True,200,1178.0188999837264,1778341150.2294939,
44,True,200,1439.6523999748752,1778341150.2346506,
45,True,200,184.6077999798581,1778341151.101562,
46,True,200,178.5528000909835,1778341151.1185222,
47,True,200,167.52589994575828,1778341151.1235936,
48,True,200,359.90970011334866,1778341151.1307812,
49,True,200,652.2572999820113,1778341151.1373646,
50,True,200,538.1163000129163,1778341151.1462703,
51,True,200,555.664399988018,1778341151.1518354,
52,True,200,289.41059997305274,1778341151.1578453,
53,True,200,289.7400000365451,1778341151.1628313,
54,True,200,159.54749996308237,1778341151.1679223,
55,True,200,298.9614000543952,1778341151.1771245,
56,True,200,363.98030002601445,1778341151.1920788,
57,True,200,368.77820000518113,1778341151.1976414,
58,True,200,336.2136000068858,1778341151.2083142,
59,True,200,112.79100005049258,1778341151.2243373,
60,True,200,134.0347999939695,1778341151.245525,
61,True,200,408.1677000503987,1778341151.2567942,
62,True,200,346.0930000292137,1778341151.262676,
63,True,200,859.8270999500528,1778341151.27007,
64,True,200,87.24319993052632,1778341151.2792313,
65,True,200,298.4877999406308,1778341151.2861867,
66,True,200,81.27179997973144,1778341151.2911408,
67,True,200,136.39290002174675,1778341151.2971065,
68,True,200,348.2245000777766,1778341151.3055637,
69,True,200,112.66880005132407,1778341151.309859,
70,True,200,96.05749999172986,1778341151.3218012,
71,True,200,362.9334999714047,1778341151.327496,
72,True,200,101.68660001363605,1778341151.3371637,
73,True,200,337.5394999748096,1778341151.3420057,
74,True,200,386.77039998583496,1778341151.354702,
75,True,200,402.4495999328792,1778341151.3664951,
76,True,200,376.21320004109293,1778341151.3724363,
77,True,200,961.2478000344709,1778341151.379589,
78,True,200,422.12919995654374,1778341151.3887687,
79,True,200,390.4800999443978,1778341151.3939862,
80,True,200,107.6894000871107,1778341151.3991446,
81,True,200,153.9131999015808,1778341151.4075344,
82,True,200,114.44239993579686,1778341151.4123752,
83,True,200,913.3542999625206,1778341151.4178793,
84,True,200,989.0968999825418,1778341151.422547,
85,True,200,105.79249996226281,1778341151.4335349,
86,True,200,355.61209998559207,1778341151.4388723,
87,True,200,370.32820004969835,1778341151.4472773,
88,True,200,982.9452000558376,1778341151.4525943,
89,True,200,1455.0125000532717,1778341151.4761062,
90,True,200,949.6928000589833,1778341151.4907115,
91,True,200,661.292799981311,1778341151.4972074,
92,True,200,956.5972000127658,1778341151.5069468,
93,True,200,656.1538999667391,1778341151.514049,
94,True,200,1017.7641999907792,1778341151.5268388,
95,True,200,665.1794000063092,1778341151.5326595,
96,True,200,648.5811999300495,1778341151.5393531,
97,True,200,648.0700999964029,1778341151.5445578,
98,True,200,1603.6324999295175,1778341151.549382,
99,True,200,977.9447000473738,1778341151.5560844,
100,True,200,945.0930000748485,1778341151.5614643,
101,True,200,910.7120999833569,1778341151.566438,
102,True,200,873.3795000007376,1778341151.5847223,
103,True,200,612.2719999402761,1778341151.6088576,
104,True,200,670.4686000011861,1778341151.6316416,
105,True,200,600.2112000714988,1778341151.6412427,
106,True,200,560.5839999625459,1778341151.653844,
107,True,200,637.9866000497714,1778341151.659509,
108,True,200,98.15670002717525,1778341151.6649878,
109,True,200,82.97079999465495,1778341151.6743321,
110,True,200,892.4468000186607,1778341151.67957,
111,True,200,881.6185999894515,1778341151.6844099,
112,True,200,88.4178999112919,1778341151.69045,
113,True,200,628.7970999255776,1778341151.707527,
114,True,200,612.4797000084072,1778341151.7415528,
115,True,200,632.8372999560088,1778341151.748685,
116,True,200,350.0962998950854,1778341151.7573235,
117,True,200,642.9069999139756,1778341151.7631626,
118,True,200,851.0201000608504,1778341151.7689812,
119,True,200,833.6330000311136,1778341151.7788892,
120,True,200,358.97469997871667,1778341151.7844858,
121,True,200,327.34329998493195,1778341151.7896416,
122,True,200,880.9215999208391,1778341151.7945042,
123,True,200,332.62809994630516,1778341151.8058045,
124,True,200,352.72880003321916,1778341151.8109186,
125,True,200,336.0667999368161,1778341151.8176346,
126,True,200,345.45299992896616,1778341152.107508,
127,True,200,150.07309999782592,1778341152.1171823,
128,True,200,340.246899984777,1778341152.1301084,
129,True,200,123.97819990292192,1778341152.1384697,
130,True,200,130.16280008014292,1778341152.1434875,
131,True,200,374.6617999859154,1778341152.153766,
132,True,200,581.4194000558928,1778341152.158519,
133,True,200,93.36639998946339,1778341152.1636894,
134,True,200,111.97709990665317,1778341152.1702251,
135,True,200,129.04260004870594,1778341152.1879685,
136,True,200,101.11010004766285,1778341152.192656,
137,True,200,324.7607001103461,1778341152.1978679,
138,True,200,2495.6866999855265,1778341152.2144604,
139,True,200,358.6900000227615,1778341152.2211525,
140,True,200,160.98540008533746,1778341152.241473,
141,True,200,350.5017999559641,1778341152.257102,
142,True,200,339.71770002972335,1778341152.262467,
143,True,200,329.2665999615565,1778341152.2673373,
144,True,200,101.49110003840178,1778341152.273669,
145,True,200,113.62290009856224,1778341152.2822318,
146,True,200,350.98799993284047,1778341152.2937872,
147,True,200,337.94959995429963,1778341152.297514,
148,True,200,640.6494999537244,1778341152.3021438,
149,True,200,566.142600029707,1778341152.3116202,
150,True,200,105.98260001279414,1778341152.3170354,
151,True,200,339.0170999336988,1778341152.3313062,
152,True,200,376.68280000798404,1778341152.33635,
153,True,200,89.19780002906919,1778341152.3408673,
154,True,200,582.8591999597847,1778341152.3540783,
155,True,200,360.07439997047186,1778341152.3751836,
156,True,200,108.90629992354661,1778341152.3815405,
157,True,200,349.29360006935894,1778341152.3958762,
158,True,200,353.8573000114411,1778341152.402495,
159,True,200,344.9880999978632,1778341152.4060864,
160,True,200,437.04569991678,1778341152.411662,
161,True,200,347.6265000645071,1778341152.423039,
162,True,200,381.1210999265313,1778341152.430097,
163,True,200,582.7599000185728,1778341152.435562,
164,True,200,112.33210004866123,1778341152.440424,
165,True,200,376.71880004927516,1778341152.4529798,
166,True,200,383.018699940294,1778341152.4581208,
167,True,200,628.0055999523029,1778341152.4635608,
168,True,200,414.10369996447116,1778341152.470381,
