i,ok,status_code,latency_ms,started_at_s,error
0,True,200,233.35749993566424,1778340639.8480604,
1,True,200,259.75650001782924,1778340639.849237,
2,True,200,237.12089995387942,1778340639.8511596,
3,True,200,1248.264400055632,1778340639.8525457,
4,True,200,1191.9774999842048,1778340639.8532503,
5,True,200,1305.5896000005305,1778340639.853929,
6,True,200,1315.3288000030443,1778340639.8545299,
7,True,200,1221.8130000401288,1778340639.8551033,
8,True,200,1227.2935999790207,1778340639.8556662,
9,True,200,1237.8261999692768,1778340639.856248,
10,True,200,247.50209995545447,1778340639.8568006,
11,True,200,239.19470002874732,1778340639.857337,
12,True,200,1194.1202000016347,1778340639.8580081,
13,True,200,1207.9384999815375,1778340639.858666,
14,True,200,1199.7223999351263,1778340639.8592627,
15,True,200,1288.1316000130028,1778340639.859857,
16,True,200,1106.671000015922,1778340639.8604236,
17,True,200,1280.9561000904068,1778340639.8609664,
18,True,200,2580.3617000347003,1778340639.8615339,
19,True,200,1159.1333999531344,1778340639.8622646,
20,True,200,2554.1475999634713,1778340639.8628235,
21,True,200,1290.719199925661,1778340639.8633802,
22,True,200,1224.6220000088215,1778340639.8639448,
23,True,200,1096.2702000979334,1778340639.8644824,
24,True,200,1917.312299949117,1778340639.8650143,
25,True,200,1299.3553000269458,1778340639.8655434,
26,True,200,1315.2584000490606,1778340639.8663232,
27,True,200,1934.6276000142097,1778340639.8670535,
28,True,200,1930.4900000570342,1778340639.867727,
29,True,200,1923.557800007984,1778340639.8684115,
30,True,200,2406.539799994789,1778340639.869339,
31,True,200,4698.917900095694,1778340639.8700328,
32,True,200,1755.4789000423625,1778340639.8706522,
33,True,200,1766.7182999430224,1778340639.871236,
34,True,200,1873.6202999716625,1778340639.8717988,
35,True,200,1867.044800077565,1778340639.8723564,
36,True,200,3133.214599918574,1778340639.8729196,
37,True,200,3137.5168999657035,1778340639.8734562,
38,True,200,2301.765499985777,1778340639.8740041,
39,True,200,1767.9301000898704,1778340639.8745897,
40,True,200,2282.518699998036,1778340639.8751428,
41,True,200,1756.1227000551298,1778340639.8756964,
42,True,200,1744.1327999113128,1778340639.876238,
43,True,200,3030.8154999511316,1778340639.8767877,
44,True,200,2949.3353000143543,1778340639.8773205,
45,True,200,4472.569799982011,1778340639.8778543,
46,True,200,3571.1415999103338,1778340639.878392,
47,True,200,3563.7316000647843,1778340639.8789487,
