i,ok,status_code,latency_ms,started_at_s,error
0,True,200,65.34969992935658,1778339262.088722,
1,True,200,77.92710000649095,1778339262.0898314,
2,True,200,69.89759998396039,1778339262.0905128,
3,True,200,83.50309997331351,1778339262.0911012,
4,True,200,1072.0584000227973,1778339262.0916677,
5,True,200,1064.9838000535965,1778339262.0922248,
6,True,200,89.23170005436987,1778339262.0928047,
7,True,200,1135.024799965322,1778339262.093346,
8,True,200,1142.0700000599027,1778339262.0938783,
9,True,200,1058.336100075394,1778339262.094427,
10,True,200,1125.7820999016985,1778339262.0950193,
11,True,200,1048.4970000106841,1778339262.095583,
12,True,200,1113.1292999489233,1778339262.0963264,
13,True,200,1120.1541000045836,1778339262.0969114,
14,True,200,1116.3858000654727,1778339262.0974827,
15,True,200,1093.6920000240207,1778339262.098311,
16,True,200,1077.1033999044448,1778339262.099714,
17,True,200,1068.7628999585286,1778339262.1005046,
18,True,200,1103.9617999922484,1778339262.10116,
19,True,200,1096.6968999709934,1778339262.1018047,
20,True,200,1134.4331000000238,1778339262.1540968,
21,True,200,1083.2233000546694,1778339262.1604304,
22,True,200,1080.5004000430927,1778339262.167781,
23,True,200,1099.3057999294251,1778339262.174689,
24,True,200,1191.6349000530317,1778339262.182199,
25,True,200,87.94350002426654,1778339263.1441395,
26,True,200,262.26680004037917,1778339263.1528041,
27,True,200,244.6048998972401,1778339263.1572597,
28,True,200,169.34249992482364,1778339263.1637852,
29,True,200,85.46780003234744,1778339263.169318,
30,True,200,192.16470001265407,1778339263.176856,
31,True,200,102.12269995827228,1778339263.1920426,
32,True,200,240.0722000747919,1778339263.1985445,
33,True,200,325.8927999995649,1778339263.2051609,
34,True,200,111.59149999730289,1778339263.2094824,
35,True,200,273.89559999573976,1778339263.2139149,
36,True,200,614.0099000185728,1778339263.2170868,
37,True,200,173.42959996312857,1778339263.2208445,
38,True,200,159.74589996039867,1778339263.2283962,
39,True,200,125.11640007141978,1778339263.2321315,
40,True,200,102.31570003088564,1778339263.2359674,
41,True,200,107.21759998705238,1778339263.2436736,
42,True,200,95.84939992055297,1778339263.2483013,
43,True,200,153.6795999854803,1778339263.2548037,
44,True,200,250.14789996203035,1778339263.2740135,
45,True,200,205.08920005522668,1778339263.2885497,
46,True,200,137.27009994909167,1778339263.2942097,
47,True,200,141.04320004116744,1778339263.3211162,
48,True,200,172.30670002754778,1778339263.3331482,
49,True,200,335.9731000382453,1778339263.3383007,
50,True,200,204.48870002292097,1778339263.3441687,
51,True,200,167.57239995058626,1778339263.3509147,
